»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,∂˛—ıªØµ™,≥Ù—ı≈®∂»
2017/3/5,42,”≈,12,30,4,0.4,19,84
2017/3/6,45,”≈,17,43,6,0.7,34,81
2017/3/7,40,”≈,7,23,3,0.4,15,80
2017/3/8,45,”≈,10,30,3,0.5,24,90
2017/3/9,46,”≈,13,35,4,0.5,39,83
2017/3/10,77,¡º,34,65,12,0.9,64,88
2017/3/11,65,¡º,44,80,15,0.9,48,89
2017/3/12,44,”≈,7,27,3,0.3,13,88
2017/3/13,43,”≈,11,28,5,0.5,32,87
2017/3/14,51,¡º,21,52,8,0.6,43,85
2017/3/15,86,¡º,65,96,22,1.2,69,77
2017/3/16,148,«·∂»Œ€»æ,115,156,25,1.4,88,83
2017/3/17,160,÷–∂»Œ€»æ,125,162,19,1.1,71,81
2017/3/18,190,÷–∂»Œ€»æ,146,162,16,1.2,68,139
2017/3/19,273,÷ÿ∂»Œ€»æ,222,217,33,2.1,81,150
2017/3/20,182,÷–∂»Œ€»æ,137,126,19,1.4,75,60
2017/3/21,113,«·∂»Œ€»æ,87,123,7,0.8,48,98
2017/3/22,175,÷–∂»Œ€»æ,140,178,19,1.3,81,74
2017/3/23,160,÷–∂»Œ€»æ,121,90,6,1.7,60,52
2017/3/24,80,¡º,60,31,2,1,49,50
2017/3/25,48,”≈,34,28,3,0.8,36,82
2017/3/26,44,”≈,12,27,3,0.4,23,89
2017/3/27,43,”≈,17,34,3,0.4,37,87
2017/3/28,80,¡º,60,93,9,0.7,54,100
2017/3/29,148,«·∂»Œ€»æ,118,141,11,0.9,65,111
2017/3/30,114,«·∂»Œ€»æ,86,129,16,1.2,57,85
2017/3/31,47,”≈,20,42,4,0.5,34,86
2017/4/1,67,¡º,31,78,7,0.6,52,88
2017/4/2,91,¡º,68,112,14,1.1,72,97
2017/4/3,165,÷–∂»Œ€»æ,125,170,21,1.3,78,159
2017/4/4,174,÷–∂»Œ€»æ,130,147,20,1.2,62,90
2017/4/5,81,¡º,61,57,5,0.6,30,129
2017/4/6,125,«·∂»Œ€»æ,98,106,6,0.9,47,123
2017/4/7,100,¡º,76,120,8,0.8,48,76
2017/4/8,86,¡º,76,136,7,0.9,60,64
2017/4/9,87,¡º,64,100,7,1,46,98
2017/4/10,90,¡º,66,119,9,0.8,59,72
2017/4/11,58,¡º,26,66,3,0.4,35,90
2017/4/12,70,¡º,30,94,5,0.6,53,97
2017/4/13,91,¡º,54,135,14,1.1,66,77
2017/4/14,93,¡º,60,136,6,0.9,67,99
2017/4/15,70,¡º,36,86,5,0.5,52,119
2017/4/16,124,«·∂»Œ€»æ,97,176,17,1,72,110
2017/4/17,168,÷–∂»Œ€»æ,123,210,8,1,56,97
2017/4/18,65,¡º,24,80,2,0.3,23,94
2017/4/19,87,¡º,45,122,7,0.9,71,35
2017/4/20,71,¡º,36,88,3,0.7,44,90
2017/4/21,54,¡º,19,58,2,0.3,23,104
2017/4/22,87,¡º,44,122,8,0.5,44,122
2017/4/23,62,¡º,24,72,4,0.4,24,115
2017/4/24,66,¡º,31,79,5,0.5,31,111
2017/4/25,38,”≈,13,39,3,0.3,26,77
2017/4/26,51,¡º,14,38,3,0.4,30,102
2017/4/27,54,¡º,15,49,2,0.4,36,105
2017/4/28,62,¡º,23,64,3,0.4,40,115
2017/4/29,76,¡º,40,103,3,0.5,43,127
2017/4/30,105,«·∂»Œ€»æ,48,158,5,0.5,44,141
2017/5/1,81,¡º,39,111,8,0.7,46,123
2017/5/2,132,«·∂»Œ€»æ,64,132,10,1,54,196
2017/5/3,93,¡º,69,107,9,0.9,47,118
2017/5/4,500,—œ÷ÿŒ€»æ,125,356,2,0.3,23,96
2017/5/5,342,—œ÷ÿŒ€»æ,181,406,4,0.4,24,88
2017/5/6,71,¡º,34,94,3,0.4,38,113
2017/5/7,85,¡º,28,75,5,0.4,41,142
2017/5/8,101,«·∂»Œ€»æ,56,113,8,0.6,55,162
2017/5/9,100,¡º,43,93,7,0.5,26,160
2017/5/10,81,¡º,39,69,4,0.5,32,138
2017/5/11,91,¡º,31,134,3,0.4,33,96
2017/5/12,111,«·∂»Œ€»æ,45,170,5,0.5,26,144
2017/5/13,61,¡º,19,67,2,0.3,18,91
2017/5/14,70,¡º,12,35,2,0.3,16,124
2017/5/15,81,¡º,23,62,7,0.6,26,138
2017/5/16,124,«·∂»Œ€»æ,43,90,10,0.6,30,187
2017/5/17,185,÷–∂»Œ€»æ,62,133,10,0.7,39,250
2017/5/18,201,÷ÿ∂»Œ€»æ,86,152,11,0.9,52,275
2017/5/19,187,÷–∂»Œ€»æ,85,150,11,0.8,44,252
2017/5/20,171,÷–∂»Œ€»æ,57,122,8,0.8,40,236
2017/5/21,116,«·∂»Œ€»æ,57,94,12,1,27,178
2017/5/22,53,¡º,37,46,7,1.1,37,54
2017/5/23,71,¡º,18,32,2,0.5,34,126
2017/5/24,84,¡º,17,54,3,0.4,45,141
2017/5/25,104,«·∂»Œ€»æ,22,83,5,0.6,39,165
2017/5/26,154,÷–∂»Œ€»æ,45,97,9,0.6,51,219
2017/5/27,196,÷–∂»Œ€»æ,69,117,21,1.4,47,261
2017/5/28,194,÷–∂»Œ€»æ,87,135,17,1.5,36,259
2017/5/29,69,¡º,28,88,8,0.7,27,101
2017/5/30,101,«·∂»Œ€»æ,42,70,2,0.7,39,162
2017/5/31,140,«·∂»Œ€»æ,65,104,4,0.8,45,205
2017/6/1,123,«·∂»Œ€»æ,23,57,4,0.6,30,186
2017/6/2,57,¡º,23,65,12,1,40,74
2017/6/3,83,¡º,29,56,5,0.7,38,140
2017/6/4,141,«·∂»Œ€»æ,48,93,11,0.7,51,206
2017/6/5,149,«·∂»Œ€»æ,65,115,17,1,61,214
2017/6/6,51,¡º,37,32,2,0.6,25,96
2017/6/7,91,¡º,47,50,4,0.7,32,150
2017/6/8,70,¡º,25,54,2,0.6,55,124
2017/6/9,148,«·∂»Œ€»æ,29,90,5,0.7,51,213
2017/6/10,82,¡º,21,69,11,0.8,34,139
2017/6/11,124,«·∂»Œ€»æ,33,85,7,0.7,49,187
2017/6/12,88,¡º,34,78,17,1.2,45,146
2017/6/13,93,¡º,40,62,5,0.9,44,152
2017/6/14,123,«·∂»Œ€»æ,37,60,3,0.8,48,186
2017/6/15,155,÷–∂»Œ€»æ,38,95,4,0.7,54,220
2017/6/16,158,÷–∂»Œ€»æ,59,131,7,0.7,41,223
2017/6/17,200,÷–∂»Œ€»æ,82,159,12,0.9,37,267
2017/6/18,197,÷–∂»Œ€»æ,70,124,11,0.9,31,262
2017/6/19,154,÷–∂»Œ€»æ,37,70,3,0.6,27,219
2017/6/20,156,÷–∂»Œ€»æ,32,64,3,0.7,26,221
2017/6/21,161,÷–∂»Œ€»æ,48,79,8,0.9,28,226
2017/6/22,50,”≈,33,29,2,0.8,25,101
2017/6/23,51,¡º,19,12,2,0.7,20,102
2017/6/24,65,¡º,21,26,2,0.6,23,119
2017/6/25,108,«·∂»Œ€»æ,26,43,2,0.5,33,169
2017/6/26,134,«·∂»Œ€»æ,24,44,2,0.5,39,198
2017/6/27,200,÷–∂»Œ€»æ,70,96,7,0.9,40,270
2017/6/28,189,÷–∂»Œ€»æ,98,125,8,1.3,43,254
2017/6/29,139,«·∂»Œ€»æ,52,77,3,0.9,34,203
2017/6/30,200,÷–∂»Œ€»æ,72,113,3,0.9,39,267
2017/7/1,198,÷–∂»Œ€»æ,89,132,5,1,42,263
2017/7/2,189,÷–∂»Œ€»æ,88,108,7,1.1,33,254
2017/7/3,122,«·∂»Œ€»æ,61,72,3,0.9,30,185
2017/7/4,96,¡º,48,51,3,0.9,39,156
2017/7/5,134,«·∂»Œ€»æ,82,80,3,1.1,38,198
2017/7/6,96,¡º,70,79,4,1.5,32,93
2017/7/7,113,«·∂»Œ€»æ,32,38,3,0.8,20,175
2017/7/8,161,÷–∂»Œ€»æ,41,61,2,0.7,31,226
2017/7/9,169,÷–∂»Œ€»æ,73,94,3,1.1,29,234
2017/7/10,136,«·∂»Œ€»æ,25,55,2,0.6,34,200
2017/7/11,208,÷ÿ∂»Œ€»æ,48,94,4,0.9,44,311
2017/7/12,191,÷–∂»Œ€»æ,74,132,4,1,41,256
2017/7/13,131,«·∂»Œ€»æ,63,90,3,0.8,25,195
2017/7/14,127,«·∂»Œ€»æ,34,63,3,0.7,34,190
2017/7/15,97,¡º,40,45,3,1,27,157
2017/7/16,175,÷–∂»Œ€»æ,67,83,3,1.2,34,240
2017/7/17,120,«·∂»Œ€»æ,54,68,3,1.1,28,182
2017/7/18,88,¡º,60,61,3,0.9,27,146
2017/7/19,110,«·∂»Œ€»æ,75,74,3,0.8,25,171
2017/7/20,127,«·∂»Œ€»æ,99,105,3,0.8,31,174
2017/7/21,53,¡º,22,23,2,0.7,27,104
2017/7/22,38,”≈,23,34,2,0.7,31,77
2017/7/23,60,¡º,44,59,2,0.8,39,106
2017/7/24,57,¡º,40,54,2,0.8,41,43
2017/7/25,80,¡º,32,52,4,0.9,34,137
2017/7/26,43,”≈,22,34,3,0.7,32,86
2017/7/27,64,¡º,40,66,3,1,48,117
2017/7/28,70,¡º,28,56,3,0.8,44,125
2017/7/29,91,¡º,31,58,2,0.7,38,150
2017/7/30,129,«·∂»Œ€»æ,38,66,3,0.7,35,192
2017/7/31,200,÷–∂»Œ€»æ,80,101,3,1,36,265
2017/8/1,90,¡º,66,72,2,1,30,144
2017/8/2,51,¡º,34,42,4,1.1,25,90
2017/8/3,90,¡º,23,57,3,0.7,21,149
2017/8/4,112,«·∂»Œ€»æ,21,43,3,0.6,38,174
2017/8/5,136,«·∂»Œ€»æ,27,57,3,0.7,34,200
2017/8/6,78,¡º,17,34,2,0.5,31,134
2017/8/7,88,¡º,11,35,3,0.5,31,146
2017/8/8,162,÷–∂»Œ€»æ,29,69,3,0.7,39,227
2017/8/9,101,«·∂»Œ€»æ,24,34,2,0.6,27,162
2017/8/10,125,«·∂»Œ€»æ,65,83,3,0.8,33,188
2017/8/11,119,«·∂»Œ€»æ,88,95,3,1.2,38,139
2017/8/12,46,”≈,31,35,3,0.8,38,79
2017/8/13,57,¡º,40,47,2,0.9,37,99
2017/8/14,93,¡º,28,39,2,0.8,27,152
2017/8/15,106,«·∂»Œ€»æ,55,75,2,1,32,167
2017/8/16,85,¡º,56,67,3,0.9,37,142
2017/8/17,92,¡º,23,35,2,0.7,28,151
2017/8/18,72,¡º,53,68,3,1.2,55,123
2017/8/19,70,¡º,42,43,2,1,33,124
2017/8/20,99,¡º,60,69,3,1.2,38,159
2017/8/21,133,«·∂»Œ€»æ,72,94,2,1.1,39,197
2017/8/22,98,¡º,72,81,3,1,35,97
2017/8/23,57,¡º,20,32,2,0.7,28,109
2017/8/24,47,”≈,13,37,3,0.6,38,82
2017/8/25,47,”≈,10,38,3,0.5,39,80
2017/8/26,60,¡º,15,56,3,0.6,49,52
2017/8/27,38,”≈,17,26,3,0.6,28,76
2017/8/28,34,”≈,19,23,3,0.6,28,68
2017/8/29,49,”≈,17,50,3,0.5,37,87
2017/8/30,91,¡º,52,87,4,0.9,44,150
2017/8/31,107,«·∂»Œ€»æ,83,99,2,0.9,35,120
2017/9/1,182,÷–∂»Œ€»æ,139,145,3,1.5,41,143
2017/9/2,138,«·∂»Œ€»æ,103,105,3,1.2,34,139
2017/9/3,100,¡º,58,81,4,0.9,32,160
2017/9/4,116,«·∂»Œ€»æ,88,107,4,1,36,158
2017/9/5,56,¡º,39,85,3,0.7,37,85
2017/9/6,68,¡º,16,53,3,0.5,41,122
2017/9/7,146,«·∂»Œ€»æ,48,105,3,0.8,49,211
2017/9/8,189,÷–∂»Œ€»æ,118,152,4,1.3,43,254
2017/9/9,132,«·∂»Œ€»æ,101,119,7,1.8,33,181
2017/9/10,122,«·∂»Œ€»æ,86,107,2,1.2,41,82
2017/9/11,50,”≈,20,43,2,0.5,41,89
2017/9/12,68,¡º,23,65,2,0.6,48,122
2017/9/13,123,«·∂»Œ€»æ,74,125,5,1.2,59,186
2017/9/14,112,«·∂»Œ€»æ,85,118,4,1.1,52,160
2017/9/15,80,¡º,60,102,4,0.9,64,121
2017/9/16,122,«·∂»Œ€»æ,91,124,4,1.1,63,153
2017/9/17,43,”≈,11,47,3,0.4,36,87
2017/9/18,80,¡º,23,73,3,0.6,58,136
2017/9/19,57,¡º,13,48,3,0.5,47,83
2017/9/20,58,¡º,14,58,3,0.5,50,91
2017/9/21,97,¡º,59,124,8,1,79,139
2017/9/22,70,¡º,23,94,2,0.5,41,83
2017/9/23,120,«·∂»Œ€»æ,50,192,7,0.9,75,108
2017/9/24,102,«·∂»Œ€»æ,64,157,4,1.1,63,143
2017/9/25,100,¡º,76,127,8,1.5,47,136
2017/9/26,66,¡º,48,77,2,0.7,43,56
2017/9/27,61,¡º,28,61,4,1,49,30
2017/9/28,36,”≈,10,37,3,0.4,30,66
2017/9/29,90,¡º,45,103,5,0.8,73,68
2017/9/30,142,«·∂»Œ€»æ,113,154,4,1.2,69,112
2017/10/1,95,¡º,69,89,2,0.8,49,83
2017/10/2,44,”≈,13,43,3,0.6,35,36
2017/10/3,42,”≈,16,39,2,0.5,35,53
2017/10/4,55,¡º,30,62,4,0.6,40,70
2017/10/5,75,¡º,55,78,5,0.8,41,88
2017/10/6,90,¡º,67,88,5,0.8,50,91
2017/10/7,145,«·∂»Œ€»æ,114,128,3,1.2,75,14
2017/10/8,164,÷–∂»Œ€»æ,123,102,2,1.3,69,7
2017/10/9,41,”≈,29,24,3,0.7,30,35
2017/10/10,25,”≈,6,7,3,0.4,20,41
2017/10/11,35,”≈,11,20,3,0.5,29,43
2017/10/12,50,”≈,22,37,2,0.5,40,40
2017/10/13,61,¡º,38,54,2,0.8,50,53
2017/10/14,55,¡º,15,33,2,0.7,43,20
2017/10/15,67,¡º,50,53,3,1.1,42,47
2017/10/16,55,¡º,41,54,3,1,42,58
2017/10/17,92,¡º,70,77,3,1.2,50,48
2017/10/18,90,¡º,69,44,2,1.2,47,27
2017/10/19,75,¡º,56,40,2,1.2,39,59
2017/10/20,128,«·∂»Œ€»æ,98,79,2,1.5,48,59
2017/10/21,100,¡º,73,71,3,1.3,38,72
2017/10/22,56,¡º,39,48,5,1,45,20
2017/10/23,50,”≈,36,43,2,0.7,39,52
2017/10/24,92,¡º,70,72,3,1,47,65
2017/10/25,140,«·∂»Œ€»æ,110,92,3,1.3,56,36
2017/10/26,202,÷ÿ∂»Œ€»æ,153,123,3,1.6,69,25
2017/10/27,221,÷ÿ∂»Œ€»æ,170,123,3,1.6,68,46
2017/10/28,62,¡º,43,55,2,0.7,27,55
2017/10/29,33,”≈,8,23,3,0.4,28,57
2017/10/30,58,¡º,19,44,3,0.6,47,46
2017/10/31,91,¡º,62,105,5,1,73,9
2017/11/1,98,¡º,65,100,3,1.1,79,31
2017/11/2,71,¡º,52,87,6,1,57,56
2017/11/3,37,”≈,8,28,2,0.4,31,62
2017/11/4,67,¡º,38,64,5,0.8,55,47
2017/11/5,130,«·∂»Œ€»æ,101,120,6,1.3,71,37
2017/11/6,201,÷ÿ∂»Œ€»æ,152,144,5,1.5,71,56
2017/11/7,111,«·∂»Œ€»æ,81,99,3,1,44,66
2017/11/8,63,¡º,20,45,6,0.8,52,30
2017/11/9,78,¡º,53,94,6,1.4,65,22
2017/11/10,39,”≈,7,37,2,0.3,15,58
2017/11/11,46,”≈,18,38,4,0.5,37,36
2017/11/12,78,¡º,56,93,6,1,64,15
2017/11/13,60,¡º,26,71,3,0.6,31,61
2017/11/14,32,”≈,11,32,3,0.5,27,62
2017/11/15,46,”≈,16,38,3,0.5,38,60
2017/11/16,90,¡º,58,87,10,1.4,73,19
2017/11/17,55,¡º,22,58,4,0.7,31,64
2017/11/18,54,¡º,40,62,7,0.6,36,60
2017/11/19,117,«·∂»Œ€»æ,89,118,9,1.4,73,17
2017/11/20,135,«·∂»Œ€»æ,105,129,10,1.9,86,29
2017/11/21,158,÷–∂»Œ€»æ,119,158,12,2,86,37
2017/11/22,33,”≈,7,31,3,0.4,18,62
2017/11/23,30,”≈,7,29,3,0.4,21,52
2017/11/24,47,”≈,22,50,7,0.6,35,52
2017/11/25,76,¡º,39,74,7,1,59,25
2017/11/26,30,”≈,12,30,3,0.4,26,61
2017/11/27,93,¡º,70,96,10,1.4,72,13
2017/11/28,64,¡º,37,76,4,0.9,38,64
2017/11/29,43,”≈,14,36,4,0.5,36,43
2017/11/30,55,¡º,26,52,7,0.8,44,17
2017/12/1,87,¡º,73,106,11,1.2,71,0
2017/12/2,162,÷–∂»Œ€»æ,152,220,17,2,108,0
2017/12/3,254,÷ÿ∂»Œ€»æ,48,77,6,3,39,0
2017/12/4,28,”≈,6,22,2,0.5,18,0
2017/12/5,77,¡º,25,51,6,1,49,0
2017/12/6,82,¡º,23,52,7,1,42,0
2017/12/7,29,”≈,9,28,5,0.3,21,0
2017/12/8,28,”≈,23,48,6,0.5,49,0
2017/12/9,77,¡º,34,63,8,1.4,64,0
2017/12/10,30,”≈,7,46,3,0.3,15,0
2017/12/11,39,”≈,6,21,3,0.5,17,0
2017/12/12,23,”≈,14,27,5,0.3,33,0
2017/12/13,65,¡º,32,50,8,1,54,22
2017/12/14,97,¡º,74,87,19,1.9,71,13
2017/12/15,51,¡º,33,55,7,0.9,34,57
2017/12/16,41,”≈,8,39,3,0.3,13,64
2017/12/17,68,¡º,28,52,7,0.9,54,56
2017/12/18,47,”≈,12,47,4,0.5,21,63
2017/12/19,65,¡º,37,72,9,0.9,52,33
2017/12/20,53,¡º,20,43,5,0.6,42,64
2017/12/21,98,¡º,53,77,13,1.4,78,20
2017/12/22,72,¡º,36,61,9,1.2,57,62
2017/12/23,79,¡º,32,57,11,1,63,19
2017/12/24,49,”≈,13,49,4,0.5,16,73
2017/12/25,62,¡º,31,50,10,0.7,49,43
2017/12/26,59,¡º,25,44,7,0.7,48,47
2017/12/27,99,¡º,76,89,11,1.5,71,15
2017/12/28,143,«·∂»Œ€»æ,109,110,13,1.9,70,19
2017/12/29,225,÷ÿ∂»Œ€»æ,175,168,6,2.9,86,11
2017/12/30,145,«·∂»Œ€»æ,111,118,5,2,62,52
2017/12/31,64,¡º,32,67,6,1,51,35
2018/1/1,60,¡º,33,61,10,1.1,48,41
2018/1/2,49,”≈,27,49,7,0.9,35,50
2018/1/3,29,”≈,11,28,5,0.4,23,55
2018/1/4,44,”≈,15,29,5,0.5,35,42
2018/1/5,69,¡º,32,53,9,1,55,39
2018/1/6,52,¡º,16,29,6,0.6,41,53
2018/1/7,59,¡º,38,57,11,0.9,47,55
2018/1/8,55,¡º,12,60,4,0.3,12,66
2018/1/9,35,”≈,7,34,3,0.3,14,69
2018/1/10,35,”≈,6,20,3,0.3,10,69
2018/1/11,34,”≈,12,23,5,0.5,27,60
2018/1/12,94,¡º,59,79,12,1.4,75,23
2018/1/13,137,«·∂»Œ€»æ,104,120,16,1.8,86,18
2018/1/14,175,÷–∂»Œ€»æ,132,137,14,1.8,77,45
2018/1/15,64,¡º,32,57,9,1,51,46
2018/1/16,114,«·∂»Œ€»æ,45,178,6,0.8,46,60
2018/1/17,77,¡º,41,103,9,1.1,53,67
2018/1/18,101,«·∂»Œ€»æ,62,104,12,1.3,81,21
2018/1/19,107,«·∂»Œ€»æ,80,121,15,1.6,80,40
2018/1/20,65,¡º,31,75,9,0.9,52,35
2018/1/21,63,¡º,36,76,21,1.3,48,32
2018/1/22,46,”≈,22,46,5,0.7,28,71
2018/1/23,33,”≈,11,30,4,0.5,17,66
2018/1/24,39,”≈,17,31,6,0.5,31,71
2018/1/25,37,”≈,9,22,4,0.4,29,68
2018/1/26,58,¡º,27,39,8,0.7,46,45
2018/1/27,108,«·∂»Œ€»æ,81,92,15,1.5,74,16
2018/1/28,58,¡º,11,65,3,0.4,16,72
2018/1/29,55,¡º,8,60,4,0.4,21,73
2018/1/30,37,”≈,11,36,6,0.4,26,74
2018/1/31,62,¡º,22,73,7,0.5,32,71
2018/2/1,67,¡º,30,84,11,0.8,39,70
2018/2/2,37,”≈,8,29,5,0.4,12,74
2018/2/3,35,”≈,8,20,5,0.4,22,70
2018/2/4,44,”≈,19,35,9,0.6,35,60
2018/2/5,37,”≈,7,18,3,0.3,16,73
2018/2/6,70,¡º,46,60,14,0.9,56,47
2018/2/7,51,¡º,32,51,9,0.7,34,83
2018/2/8,73,¡º,52,75,12,1,58,53
2018/2/9,79,¡º,40,108,9,0.8,35,81
2018/2/10,43,”≈,10,43,3,0.4,13,81
2018/2/11,66,¡º,9,82,2,0.3,7,80
2018/2/12,53,¡º,12,55,4,0.4,16,80
2018/2/13,80,¡º,59,80,14,1.2,62,55
2018/2/14,41,”≈,13,33,4,0.4,19,81
2018/2/15,73,¡º,53,66,11,0.6,24,87
2018/2/16,105,«·∂»Œ€»æ,79,100,15,0.6,26,93
2018/2/17,108,«·∂»Œ€»æ,81,91,11,1.4,38,53
2018/2/18,152,÷–∂»Œ€»æ,116,109,16,1.9,50,88
2018/2/19,188,÷–∂»Œ€»æ,141,131,26,2.2,46,76
2018/2/20,63,¡º,45,42,7,0.7,23,93
2018/2/21,48,”≈,33,43,7,0.6,28,88
2018/2/22,46,”≈,18,46,6,0.5,31,84
2018/2/23,53,¡º,23,55,6,0.6,32,86
2018/2/24,62,¡º,29,73,11,0.7,23,71
2018/2/25,82,¡º,60,71,11,0.9,47,72
2018/2/26,163,÷–∂»Œ€»æ,124,122,22,1.7,75,94
2018/2/27,219,÷ÿ∂»Œ€»æ,169,171,13,2,56,72
2018/2/28,117,«·∂»Œ€»æ,88,118,10,1.1,37,80
2018/3/1,50,”≈,17,50,4,0.4,18,87
2018/3/2,105,«·∂»Œ€»æ,79,105,19,1.1,56,71
2018/3/3,221,÷ÿ∂»Œ€»æ,171,196,19,2,79,57
2018/3/4,126,«·∂»Œ€»æ,58,202,7,0.9,38,51
2018/3/5,90,¡º,48,129,9,0.9,45,71
2018/3/6,63,¡º,45,64,11,0.9,41,69
2018/3/7,64,¡º,46,63,9,0.8,51,48
2018/3/8,61,¡º,43,72,6,0.7,37,76
2018/3/9,137,«·∂»Œ€»æ,104,107,13,1.3,72,79
2018/3/10,156,÷–∂»Œ€»æ,119,128,16,1.5,63,110
2018/3/11,85,¡º,63,69,18,1.4,50,65
2018/3/12,195,÷–∂»Œ€»æ,146,141,11,1.7,75,91
2018/3/13,294,÷ÿ∂»Œ€»æ,244,198,11,2.1,100,151
2018/3/14,287,÷ÿ∂»Œ€»æ,237,185,17,2.6,79,86
2018/3/15,62,¡º,20,74,3,0.4,18,95
2018/3/16,55,¡º,33,60,8,0.6,31,95
2018/3/17,83,¡º,61,60,5,0.9,62,29
2018/3/18,138,«·∂»Œ€»æ,105,73,3,1,56,88
2018/3/19,94,¡º,70,60,4,0.8,47,97
2018/3/20,44,”≈,23,39,4,0.5,35,87
2018/3/21,80,¡º,59,83,9,0.9,56,75
2018/3/22,115,«·∂»Œ€»æ,87,104,8,1,66,96
2018/3/23,144,«·∂»Œ€»æ,110,132,12,1.4,90,64
2018/3/24,120,«·∂»Œ€»æ,91,102,10,1.2,63,118
2018/3/25,78,¡º,57,95,7,0.7,59,128
2018/3/26,162,÷–∂»Œ€»æ,123,142,13,1.1,76,141
2018/3/27,247,÷ÿ∂»Œ€»æ,197,196,12,1.4,103,119
2018/3/28,179,÷–∂»Œ€»æ,118,184,6,0.9,52,75
2018/3/29,112,«·∂»Œ€»æ,39,173,13,0.8,46,88
2018/3/30,69,¡º,41,85,8,0.6,55,104
2018/3/31,137,«·∂»Œ€»æ,104,155,13,1.1,85,120
2018/4/1,226,÷ÿ∂»Œ€»æ,176,213,15,1.5,81,202
2018/4/2,273,÷ÿ∂»Œ€»æ,223,243,10,1.8,69,155
2018/4/3,71,¡º,12,91,2,0.3,17,87
2018/4/4,43,”≈,22,20,2,0.4,34,64
2018/4/5,74,¡º,51,97,2,0.6,28,46
2018/4/6,60,¡º,14,70,2,0.3,9,91
2018/4/7,49,”≈,18,49,5,0.3,24,98
2018/4/8,69,¡º,40,87,6,0.6,49,90
2018/4/9,115,«·∂»Œ€»æ,87,126,22,1.4,64,115
2018/4/10,84,¡º,51,118,8,0.8,40,90
2018/4/11,56,¡º,19,62,5,0.3,38,106
2018/4/12,80,¡º,31,109,9,0.6,40,103
2018/4/13,69,¡º,39,59,9,1.2,55,51
2018/4/14,118,«·∂»Œ€»æ,28,185,2,0.3,13,101
2018/4/15,66,¡º,24,81,4,0.4,31,111
2018/4/16,106,«·∂»Œ€»æ,72,162,10,0.7,50,157
2018/4/17,133,«·∂»Œ€»æ,96,216,10,0.9,43,158
2018/4/18,144,«·∂»Œ€»æ,110,214,8,0.9,49,174
2018/4/19,160,÷–∂»Œ€»æ,122,194,10,1,51,204
2018/4/20,165,÷–∂»Œ€»æ,125,158,12,1.4,44,223
2018/4/21,92,¡º,68,72,3,1,34,78
2018/4/22,39,”≈,10,19,2,0.4,21,77
2018/4/23,55,¡º,17,31,2,0.4,29,106
2018/4/24,64,¡º,19,35,2,0.4,38,116
2018/4/25,87,¡º,33,65,4,0.5,46,144
2018/4/26,122,«·∂»Œ€»æ,92,111,6,0.8,54,167
2018/4/27,113,«·∂»Œ€»æ,41,175,5,0.6,39,141
2018/4/28,150,«·∂»Œ€»æ,96,174,7,0.8,56,214
2018/4/29,195,÷–∂»Œ€»æ,146,171,9,1,61,169
2018/4/30,69,¡º,29,68,5,0.7,25,122
2018/5/1,117,«·∂»Œ€»æ,40,184,2,0.5,33,84
2018/5/2,51,¡º,17,41,2,0.3,23,101
2018/5/3,58,¡º,15,54,3,0.3,29,109
2018/5/4,112,«·∂»Œ€»æ,61,114,8,0.6,57,173
2018/5/5,116,«·∂»Œ€»æ,60,151,4,0.5,50,86
2018/5/6,120,«·∂»Œ€»æ,59,189,4,0.5,43,149
2018/5/7,104,«·∂»Œ€»æ,55,136,8,0.7,46,164
2018/5/8,91,¡º,30,80,5,0.5,39,149
2018/5/9,120,«·∂»Œ€»æ,47,99,8,0.6,50,182
2018/5/10,146,«·∂»Œ€»æ,92,143,12,1,63,210
2018/5/11,108,«·∂»Œ€»æ,81,109,6,0.8,52,110
2018/5/12,185,÷–∂»Œ€»æ,139,121,4,1.5,44,163
2018/5/13,119,«·∂»Œ€»æ,49,84,3,0.6,40,180
2018/5/14,178,÷–∂»Œ€»æ,118,146,7,1.2,44,243
2018/5/15,90,¡º,67,103,5,1.1,44,136
2018/5/16,152,÷–∂»Œ€»æ,116,93,5,1.9,37,180
2018/5/17,59,¡º,42,59,3,1,30,79
2018/5/18,94,¡º,23,48,4,0.6,31,152
2018/5/19,110,«·∂»Œ€»æ,38,68,5,0.7,43,170
2018/5/20,61,¡º,39,45,3,0.8,30,113
2018/5/21,83,¡º,61,41,2,1,37,54
2018/5/22,102,«·∂»Œ€»æ,45,153,2,0.4,25,98
2018/5/23,139,«·∂»Œ€»æ,56,228,5,0.5,42,150
2018/5/24,151,÷–∂»Œ€»æ,52,133,7,0.7,52,216
2018/5/25,162,÷–∂»Œ€»æ,61,131,7,0.8,40,227
2018/5/26,125,«·∂»Œ€»æ,52,129,4,0.8,36,139
2018/5/27,89,¡º,44,128,3,0.4,34,140
2018/5/28,76,¡º,29,91,2,0.2,25,95
2018/5/29,63,¡º,14,55,2,0.3,34,115
2018/5/30,95,¡º,13,38,3,0.3,35,154
2018/5/31,154,÷–∂»Œ€»æ,29,71,6,0.6,46,219
2018/6/1,129,«·∂»Œ€»æ,28,68,3,0.5,48,191
2018/6/2,200,÷–∂»Œ€»æ,50,108,9,0.7,51,265
2018/6/3,87,¡º,54,123,4,0.7,40,125
