»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,∂˛—ıªØµ™,≥Ù—ı≈®∂»
2016/4/11,77,¡º,41,103,9,0.6,42,89
2016/4/12,105,«·∂»Œ€»æ,79,104,6,0.8,58,76
2016/4/13,158,÷–∂»Œ€»æ,120,134,7,1,64,104
2016/4/14,76,¡º,32,101,4,0.3,28,108
2016/4/15,80,¡º,59,107,16,1,58,91
2016/4/17,46,”≈,16,35,2,0.3,16,91
2016/4/18,50,”≈,19,39,3,0.3,25,100
2016/4/19,98,¡º,73,104,20,1.3,65,64
2016/4/20,92,¡º,68,102,8,0.9,44,121
2016/4/21,127,«·∂»Œ€»æ,96,165,7,0.9,58,124
2016/4/22,74,¡º,33,97,2,0.3,23,108
2016/4/23,54,¡º,23,58,4,0.3,30,97
2016/4/24,113,«·∂»Œ€»æ,85,149,22,0.9,53,152
2016/4/25,119,«·∂»Œ€»æ,90,141,14,0.7,34,172
2016/4/26,95,¡º,71,124,26,1.4,44,141
2016/4/27,120,«·∂»Œ€»æ,91,134,9,1.1,62,115
2016/4/28,122,«·∂»Œ€»æ,81,100,7,1,49,184
2016/4/29,168,÷–∂»Œ€»æ,127,160,17,1.4,65,185
2016/4/30,209,÷ÿ∂»Œ€»æ,159,168,10,1.4,58,232
2016/5/1,234,÷ÿ∂»Œ€»æ,184,166,26,2.3,43,236
2016/5/2,82,¡º,50,103,2,0.5,20,138
2016/5/3,60,¡º,23,70,2,0.4,29,101
2016/5/4,68,¡º,29,59,4,0.5,49,121
2016/5/5,102,«·∂»Œ€»æ,62,153,14,0.9,43,129
2016/5/6,116,«·∂»Œ€»æ,57,182,2,0.2,13,100
2016/5/7,74,¡º,23,55,3,0.3,29,128
2016/5/8,97,¡º,60,103,15,0.7,44,156
2016/5/9,64,¡º,36,64,4,0.5,39,116
2016/5/10,100,¡º,43,76,4,0.5,36,160
2016/5/11,200,÷–∂»Œ€»æ,150,166,12,1.1,36,177
