日期,AQI,质量等级,PM2.5,PM10,二氧化硫,一氧化碳,二氧化氮,臭氧浓度
2020/4/30,209,重度污染,159,168,10,1.4,58,232
2020/5/1,234,重度污染,184,166,26,2.3,43,236
2020/5/2,82,良,50,103,2,0.5,20,138
2020/5/3,60,良,23,70,2,0.4,29,101
2020/5/4,68,良,29,59,4,0.5,49,121
2020/5/5,102,轻度污染,62,153,14,0.9,43,129
2020/5/6,116,轻度污染,57,182,2,0.2,13,100
2020/5/7,74,良,23,55,3,0.3,29,128
2020/5/8,97,良,60,103,15,0.7,44,156
2020/5/9,64,良,36,64,4,0.5,39,116
2020/5/10,100,良,43,76,4,0.5,36,160
2020/5/11,200,中度污染,150,166,12,1.1,36,177
2020/5/12,62,良,34,45,3,0.5,28,114
2020/5/13,73,良,32,60,6,0.6,43,127
2020/5/14,58,良,41,33,3,0.5,35,84
2020/5/15,49,优,34,33,2,0.5,36,87
2020/5/16,75,良,24,59,3,0.5,43,129
2020/5/17,162,中度污染,58,104,11,0.6,52,227
2020/5/18,134,轻度污染,61,101,9,0.5,35,197
2020/5/19,184,中度污染,86,118,15,0.8,38,249
2020/5/20,171,中度污染,88,110,20,1.1,49,236
2020/5/21,150,轻度污染,68,83,18,0.8,47,215
2020/5/22,142,轻度污染,49,87,8,0.7,51,206
2020/5/23,95,良,61,106,14,0.9,45,153
2020/5/24,75,良,19,44,3,0.4,28,129
2020/5/25,66,良,13,31,3,0.3,25,119
2020/5/26,63,良,22,61,2,0.3,31,115
2020/5/27,122,轻度污染,48,104,12,0.6,50,184
2020/5/28,138,轻度污染,48,87,10,0.7,38,201
2020/5/29,95,良,33,76,5,0.5,30,153
2020/5/30,204,重度污染,82,147,16,1.1,51,283
2020/5/31,138,轻度污染,45,115,11,0.8,36,201
2020/6/1,108,轻度污染,37,73,6,0.7,42,168
2020/6/2,156,中度污染,53,88,9,0.8,51,221
2020/6/3,160,中度污染,82,125,21,1.2,61,225
2020/6/4,179,中度污染,87,127,16,0.9,38,244
2020/6/5,161,中度污染,71,98,14,0.9,38,226
2020/6/6,189,中度污染,87,119,7,0.9,32,254
2020/6/7,127,轻度污染,60,0,2,0.8,25,189
2020/6/8,170,中度污染,129,129,3,1.2,36,223
2020/6/9,153,中度污染,106,140,7,1,33,218
2020/6/10,123,轻度污染,52,32,2,0.6,20,185
2020/6/11,64,良,12,30,2,0.4,25,116
2020/6/12,146,轻度污染,71,100,7,1,33,210
2020/6/13,96,良,47,0,2,0.6,28,155
2020/6/14,50,优,35,44,2,0.6,26,95
2020/6/15,92,良,19,40,2,0.5,30,150
