日期,AQI,质量等级,PM2.5,PM10,二氧化硫,一氧化碳,二氧化氮,臭氧浓度
2021/6/4,141,轻度污染,48,93,11,0.7,51,206
2021/6/5,149,轻度污染,65,115,17,1,61,214
2021/6/6,51,良,37,32,2,0.6,25,96
2021/6/7,91,良,47,50,4,0.7,32,150
2021/6/8,70,良,25,54,2,0.6,55,124
2021/6/9,148,轻度污染,29,90,5,0.7,51,213
2021/6/10,82,良,21,69,11,0.8,34,139
2021/6/11,124,轻度污染,33,85,7,0.7,49,187
2021/6/12,88,良,34,78,17,1.2,45,146
2021/6/13,93,良,40,62,5,0.9,44,152
2021/6/14,123,轻度污染,37,60,3,0.8,48,186
2021/6/15,155,中度污染,38,95,4,0.7,54,220
2021/6/16,158,中度污染,59,131,7,0.7,41,223
2021/6/17,200,中度污染,82,159,12,0.9,37,267
2021/6/18,197,中度污染,70,124,11,0.9,31,262
2021/6/19,154,中度污染,37,70,3,0.6,27,219
2021/6/20,156,中度污染,32,64,3,0.7,26,221
2021/6/21,161,中度污染,48,79,8,0.9,28,226
2021/6/22,50,优,33,29,2,0.8,25,101
2021/6/23,51,良,19,12,2,0.7,20,102
2021/6/24,65,良,21,26,2,0.6,23,119
2021/6/25,108,轻度污染,26,43,2,0.5,33,169
2021/6/26,134,轻度污染,24,44,2,0.5,39,198
2021/6/27,200,中度污染,70,96,7,0.9,40,270
2021/6/28,189,中度污染,98,125,8,1.3,43,254
2021/6/29,139,轻度污染,52,77,3,0.9,34,203
2021/6/30,200,中度污染,72,113,3,0.9,39,267
2021/7/1,198,中度污染,89,132,5,1,42,263
2021/7/2,189,中度污染,88,108,7,1.1,33,254
2021/7/3,122,轻度污染,61,72,3,0.9,30,185
2021/7/4,96,良,48,51,3,0.9,39,156
2021/7/5,134,轻度污染,82,80,3,1.1,38,198
2021/7/6,96,良,70,79,4,1.5,32,93
2021/7/7,113,轻度污染,32,38,3,0.8,20,175
2021/7/8,161,中度污染,41,61,2,0.7,31,226
2021/7/9,169,中度污染,73,94,3,1.1,29,234
2021/7/10,136,轻度污染,25,55,2,0.6,34,200
2021/7/11,208,重度污染,48,94,4,0.9,44,311
2021/7/12,191,中度污染,74,132,4,1,41,256
2021/7/13,131,轻度污染,63,90,3,0.8,25,195
2021/7/14,127,轻度污染,34,63,3,0.7,34,190
2021/7/15,97,良,40,45,3,1,27,157
2021/7/16,175,中度污染,67,83,3,1.2,34,240
2021/7/17,120,轻度污染,54,68,3,1.1,28,182
2021/7/18,88,良,60,61,3,0.9,27,146
2021/7/19,110,轻度污染,75,74,3,0.8,25,171
2021/7/20,127,轻度污染,99,105,3,0.8,31,174
2021/7/21,53,良,22,23,2,0.7,27,104
2021/7/22,38,优,23,34,2,0.7,31,77
2021/7/23,60,良,44,59,2,0.8,39,106
2021/7/24,57,良,40,54,2,0.8,41,43
2021/7/25,80,良,32,52,4,0.9,34,137
2021/7/26,43,优,22,34,3,0.7,32,86
2021/7/27,64,良,40,66,3,1,48,117
2021/7/28,70,良,28,56,3,0.8,44,125
2021/7/29,91,良,31,58,2,0.7,38,150
2021/7/30,129,轻度污染,38,66,3,0.7,35,192
2021/7/31,200,中度污染,80,101,3,1,36,265
2021/8/1,90,良,66,72,2,1,30,144
2021/8/2,51,良,34,42,4,1.1,25,90
2021/8/3,90,良,23,57,3,0.7,21,149
2021/8/4,112,轻度污染,21,43,3,0.6,38,174
2021/8/5,136,轻度污染,27,57,3,0.7,34,200
2021/8/6,78,良,17,34,2,0.5,31,134
2021/8/7,88,良,11,35,3,0.5,31,146
2021/8/8,162,中度污染,29,69,3,0.7,39,227
2021/8/9,101,轻度污染,24,34,2,0.6,27,162
2021/8/10,125,轻度污染,65,83,3,0.8,33,188
2021/8/11,119,轻度污染,88,95,3,1.2,38,139
2021/8/12,46,优,31,35,3,0.8,38,79
2021/8/13,57,良,40,47,2,0.9,37,99
2021/8/14,93,良,28,39,2,0.8,27,152
2021/8/15,106,轻度污染,55,75,2,1,32,167
2021/8/16,85,良,56,67,3,0.9,37,142
2021/8/17,92,良,23,35,2,0.7,28,151
2021/8/18,72,良,53,68,3,1.2,55,123
2021/8/19,70,良,42,43,2,1,33,124
2021/8/20,99,良,60,69,3,1.2,38,159
2021/8/21,133,轻度污染,72,94,2,1.1,39,197
2021/8/22,98,良,72,81,3,1,35,97
2021/8/23,57,良,20,32,2,0.7,28,109
2021/8/24,47,优,13,37,3,0.6,38,82
2021/8/25,47,优,10,38,3,0.5,39,80
2021/8/26,60,良,15,56,3,0.6,49,52
2021/8/27,38,优,17,26,3,0.6,28,76
2021/8/28,34,优,19,23,3,0.6,28,68
2021/8/29,49,优,17,50,3,0.5,37,87
2021/8/30,91,良,52,87,4,0.9,44,150
2021/8/31,107,轻度污染,83,99,2,0.9,35,120
2021/9/1,182,中度污染,139,145,3,1.5,41,143
2021/9/2,138,轻度污染,103,105,3,1.2,34,139
2021/9/3,100,良,58,81,4,0.9,32,160
2021/9/4,116,轻度污染,88,107,4,1,36,158
2021/9/5,56,良,39,85,3,0.7,37,85
2021/9/6,68,良,16,53,3,0.5,41,122
2021/9/7,146,轻度污染,48,105,3,0.8,49,211
2021/9/8,189,中度污染,118,152,4,1.3,43,254
2021/9/9,132,轻度污染,101,119,7,1.8,33,181
2021/9/10,122,轻度污染,86,107,2,1.2,41,82
2021/9/11,50,优,20,43,2,0.5,41,89
2021/9/12,68,良,23,65,2,0.6,48,122
2021/9/13,123,轻度污染,74,125,5,1.2,59,186
2021/9/14,112,轻度污染,85,118,4,1.1,52,160
2021/9/15,80,良,60,102,4,0.9,64,121
2021/9/16,122,轻度污染,91,124,4,1.1,63,153
2021/9/17,43,优,11,47,3,0.4,36,87
2021/9/18,80,良,23,73,3,0.6,58,136
2021/9/19,57,良,13,48,3,0.5,47,83
2021/9/20,58,良,14,58,3,0.5,50,91
2021/9/21,97,良,59,124,8,1,79,139
2021/9/22,70,良,23,94,2,0.5,41,83
2021/9/23,120,轻度污染,50,192,7,0.9,75,108
2021/9/24,102,轻度污染,64,157,4,1.1,63,143
2021/9/25,100,良,76,127,8,1.5,47,136
2021/9/26,66,良,48,77,2,0.7,43,56
2021/9/27,61,良,28,61,4,1,49,30
2021/9/28,36,优,10,37,3,0.4,30,66
2021/9/29,90,良,45,103,5,0.8,73,68
2021/9/30,142,轻度污染,113,154,4,1.2,69,112
2021/10/1,95,良,69,89,2,0.8,49,83
2021/10/2,44,优,13,43,3,0.6,35,36
2021/10/3,42,优,16,39,2,0.5,35,53
2021/10/4,55,良,30,62,4,0.6,40,70
2021/10/5,75,良,55,78,5,0.8,41,88
2021/10/6,90,良,67,88,5,0.8,50,91
2021/10/7,145,轻度污染,114,128,3,1.2,75,14
2021/10/8,164,中度污染,123,102,2,1.3,69,7
2021/10/9,41,优,29,24,3,0.7,30,35
2021/10/10,25,优,6,7,3,0.4,20,41
2021/10/11,35,优,11,20,3,0.5,29,43
2021/10/12,50,优,22,37,2,0.5,40,40
2021/10/13,61,良,38,54,2,0.8,50,53
2021/10/14,55,良,15,33,2,0.7,43,20
2021/10/15,67,良,50,53,3,1.1,42,47
2021/10/16,55,良,41,54,3,1,42,58
2021/10/17,92,良,70,77,3,1.2,50,48
2021/10/18,90,良,69,44,2,1.2,47,27
2021/10/19,75,良,56,40,2,1.2,39,59
2021/10/20,128,轻度污染,98,79,2,1.5,48,59
2021/10/21,100,良,73,71,3,1.3,38,72
2021/10/22,56,良,39,48,5,1,45,20
2021/10/23,50,优,36,43,2,0.7,39,52
2021/10/24,92,良,70,72,3,1,47,65
2021/10/25,140,轻度污染,110,92,3,1.3,56,36
2021/10/26,202,重度污染,153,123,3,1.6,69,25
2021/10/27,221,重度污染,170,123,3,1.6,68,46
2021/10/28,62,良,43,55,2,0.7,27,55
2021/10/29,33,优,8,23,3,0.4,28,57
2021/10/30,58,良,19,44,3,0.6,47,46
2021/10/31,91,良,62,105,5,1,73,9
2021/11/1,98,良,65,100,3,1.1,79,31
2021/11/2,71,良,52,87,6,1,57,56
2021/11/3,37,优,8,28,2,0.4,31,62
2021/11/4,67,良,38,64,5,0.8,55,47
2021/11/5,130,轻度污染,101,120,6,1.3,71,37
2021/11/6,201,重度污染,152,144,5,1.5,71,56
2021/11/7,111,轻度污染,81,99,3,1,44,66
2021/11/8,63,良,20,45,6,0.8,52,30
2021/11/9,78,良,53,94,6,1.4,65,22
2021/11/10,39,优,7,37,2,0.3,15,58
2021/11/11,46,优,18,38,4,0.5,37,36
2021/11/12,78,良,56,93,6,1,64,15
2021/11/13,60,良,26,71,3,0.6,31,61
2021/11/14,32,优,11,32,3,0.5,27,62
2021/11/15,46,优,16,38,3,0.5,38,60
2021/11/16,90,良,58,87,10,1.4,73,19
2021/11/17,55,良,22,58,4,0.7,31,64
2021/11/18,54,良,40,62,7,0.6,36,60
2021/11/19,117,轻度污染,89,118,9,1.4,73,17
2021/11/20,135,轻度污染,105,129,10,1.9,86,29
2021/11/21,158,中度污染,119,158,12,2,86,37
2021/11/22,33,优,7,31,3,0.4,18,62
2021/11/23,30,优,7,29,3,0.4,21,52
2021/11/24,47,优,22,50,7,0.6,35,52
2021/11/25,76,良,39,74,7,1,59,25
2021/11/26,30,优,12,30,3,0.4,26,61
2021/11/27,93,良,70,96,10,1.4,72,13
2021/11/28,64,良,37,76,4,0.9,38,64
2021/11/29,43,优,14,36,4,0.5,36,43
2021/11/30,55,良,26,52,7,0.8,44,17
2021/12/1,87,良,73,106,11,1.2,71,0
2021/12/2,162,中度污染,152,220,17,2,108,0
2021/12/3,254,重度污染,48,77,6,3,39,0
2021/12/4,28,优,6,22,2,0.5,18,0
2021/12/5,77,良,25,51,6,1,49,0
2021/12/6,82,良,23,52,7,1,42,0
2021/12/7,29,优,9,28,5,0.3,21,0
2021/12/8,28,优,23,48,6,0.5,49,0
2021/12/9,77,良,34,63,8,1.4,64,0
2021/12/10,30,优,7,46,3,0.3,15,0
2021/12/11,39,优,6,21,3,0.5,17,0
2021/12/12,23,优,14,27,5,0.3,33,0
2021/12/13,65,良,32,50,8,1,54,22
2021/12/14,97,良,74,87,19,1.9,71,13
2021/12/15,51,良,33,55,7,0.9,34,57
2021/12/16,41,优,8,39,3,0.3,13,64
2021/12/17,68,良,28,52,7,0.9,54,56
2021/12/18,47,优,12,47,4,0.5,21,63
2021/12/19,65,良,37,72,9,0.9,52,33
2021/12/20,53,良,20,43,5,0.6,42,64
2021/12/21,98,良,53,77,13,1.4,78,20
2021/12/22,72,良,36,61,9,1.2,57,62
2021/12/23,79,良,32,57,11,1,63,19
2021/12/24,49,优,13,49,4,0.5,16,73
2021/12/25,62,良,31,50,10,0.7,49,43
2021/12/26,59,良,25,44,7,0.7,48,47
2021/12/27,99,良,76,89,11,1.5,71,15
2021/12/28,143,轻度污染,109,110,13,1.9,70,19
2021/12/29,225,重度污染,175,168,6,2.9,86,11
2021/12/30,145,轻度污染,111,118,5,2,62,52
2021/12/31,64,良,32,67,6,1,51,35
2022/1/1,60,良,33,61,10,1.1,48,41
2022/1/2,49,优,27,49,7,0.9,35,50
2022/1/3,29,优,11,28,5,0.4,23,55
2022/1/4,44,优,15,29,5,0.5,35,42
2022/1/5,69,良,32,53,9,1,55,39
2022/1/6,52,良,16,29,6,0.6,41,53
2022/1/7,59,良,38,57,11,0.9,47,55
2022/1/8,55,良,12,60,4,0.3,12,66
2022/1/9,35,优,7,34,3,0.3,14,69
2022/1/10,35,优,6,20,3,0.3,10,69
2022/1/11,34,优,12,23,5,0.5,27,60
2022/1/12,94,良,59,79,12,1.4,75,23
2022/1/13,137,轻度污染,104,120,16,1.8,86,18
2022/1/14,175,中度污染,132,137,14,1.8,77,45
2022/1/15,64,良,32,57,9,1,51,46
2022/1/16,114,轻度污染,45,178,6,0.8,46,60
2022/1/17,77,良,41,103,9,1.1,53,67
2022/1/18,101,轻度污染,62,104,12,1.3,81,21
2022/1/19,107,轻度污染,80,121,15,1.6,80,40
2022/1/20,65,良,31,75,9,0.9,52,35
2022/1/21,63,良,36,76,21,1.3,48,32
2022/1/22,46,优,22,46,5,0.7,28,71
2022/1/23,33,优,11,30,4,0.5,17,66
2022/1/24,39,优,17,31,6,0.5,31,71
2022/1/25,37,优,9,22,4,0.4,29,68
2022/1/26,58,良,27,39,8,0.7,46,45
2022/1/27,108,轻度污染,81,92,15,1.5,74,16
2022/1/28,58,良,11,65,3,0.4,16,72
2022/1/29,55,良,8,60,4,0.4,21,73
2022/1/30,37,优,11,36,6,0.4,26,74
2022/1/31,62,良,22,73,7,0.5,32,71
2022/2/1,67,良,30,84,11,0.8,39,70
2022/2/2,37,优,8,29,5,0.4,12,74
2022/2/3,35,优,8,20,5,0.4,22,70
2022/2/4,44,优,19,35,9,0.6,35,60
2022/2/5,37,优,7,18,3,0.3,16,73
2022/2/6,70,良,46,60,14,0.9,56,47
2022/2/7,51,良,32,51,9,0.7,34,83
2022/2/8,73,良,52,75,12,1,58,53
2022/2/9,79,良,40,108,9,0.8,35,81
2022/2/10,43,优,10,43,3,0.4,13,81
2022/2/11,66,良,9,82,2,0.3,7,80
2022/2/12,53,良,12,55,4,0.4,16,80
2022/2/13,80,良,59,80,14,1.2,62,55
2022/2/14,41,优,13,33,4,0.4,19,81
2022/2/15,73,良,53,66,11,0.6,24,87
2022/2/16,105,轻度污染,79,100,15,0.6,26,93
2022/2/17,108,轻度污染,81,91,11,1.4,38,53
2022/2/18,152,中度污染,116,109,16,1.9,50,88
2022/2/19,188,中度污染,141,131,26,2.2,46,76
2022/2/20,63,良,45,42,7,0.7,23,93
2022/2/21,48,优,33,43,7,0.6,28,88
2022/2/22,46,优,18,46,6,0.5,31,84
2022/2/23,53,良,23,55,6,0.6,32,86
2022/2/24,62,良,29,73,11,0.7,23,71
2022/2/25,82,良,60,71,11,0.9,47,72
2022/2/26,163,中度污染,124,122,22,1.7,75,94
2022/2/27,219,重度污染,169,171,13,2,56,72
2022/2/28,117,轻度污染,88,118,10,1.1,37,80
2022/3/1,50,优,17,50,4,0.4,18,87
2022/3/2,105,轻度污染,79,105,19,1.1,56,71
2022/3/3,221,重度污染,171,196,19,2,79,57
2022/3/4,126,轻度污染,58,202,7,0.9,38,51
2022/3/5,90,良,48,129,9,0.9,45,71
2022/3/6,63,良,45,64,11,0.9,41,69
2022/3/7,64,良,46,63,9,0.8,51,48
2022/3/8,61,良,43,72,6,0.7,37,76
2022/3/9,137,轻度污染,104,107,13,1.3,72,79
2022/3/10,156,中度污染,119,128,16,1.5,63,110
2022/3/11,85,良,63,69,18,1.4,50,65
2022/3/12,195,中度污染,146,141,11,1.7,75,91
2022/3/13,294,重度污染,244,198,11,2.1,100,151
2022/3/14,287,重度污染,237,185,17,2.6,79,86
2022/3/15,62,良,20,74,3,0.4,18,95
2022/3/16,55,良,33,60,8,0.6,31,95
2022/3/17,83,良,61,60,5,0.9,62,29
2022/3/18,138,轻度污染,105,73,3,1,56,88
2022/3/19,94,良,70,60,4,0.8,47,97
2022/3/20,44,优,23,39,4,0.5,35,87
2022/3/21,80,良,59,83,9,0.9,56,75
2022/3/22,115,轻度污染,87,104,8,1,66,96
2022/3/23,144,轻度污染,110,132,12,1.4,90,64
2022/3/24,120,轻度污染,91,102,10,1.2,63,118
2022/3/25,78,良,57,95,7,0.7,59,128
2022/3/26,162,中度污染,123,142,13,1.1,76,141
2022/3/27,247,重度污染,197,196,12,1.4,103,119
2022/3/28,179,中度污染,118,184,6,0.9,52,75
2022/3/29,112,轻度污染,39,173,13,0.8,46,88
2022/3/30,69,良,41,85,8,0.6,55,104
2022/3/31,137,轻度污染,104,155,13,1.1,85,120
2022/4/1,226,重度污染,176,213,15,1.5,81,202
2022/4/2,273,重度污染,223,243,10,1.8,69,155
2022/4/3,71,良,12,91,2,0.3,17,87
2022/4/4,43,优,22,20,2,0.4,34,64
2022/4/5,74,良,51,97,2,0.6,28,46
2022/4/6,60,良,14,70,2,0.3,9,91
2022/4/7,49,优,18,49,5,0.3,24,98
2022/4/8,69,良,40,87,6,0.6,49,90
2022/4/9,115,轻度污染,87,126,22,1.4,64,115
2022/4/10,84,良,51,118,8,0.8,40,90
2022/4/11,56,良,19,62,5,0.3,38,106
2022/4/12,80,良,31,109,9,0.6,40,103
2022/4/13,69,良,39,59,9,1.2,55,51
2022/4/14,118,轻度污染,28,185,2,0.3,13,101
2022/4/15,66,良,24,81,4,0.4,31,111
2022/4/16,106,轻度污染,72,162,10,0.7,50,157
2022/4/17,133,轻度污染,96,216,10,0.9,43,158
2022/4/18,144,轻度污染,110,214,8,0.9,49,174
2022/4/19,160,中度污染,122,194,10,1,51,204
2022/4/20,165,中度污染,125,158,12,1.4,44,223
2022/4/21,92,良,68,72,3,1,34,78
2022/4/22,39,优,10,19,2,0.4,21,77
2022/4/23,55,良,17,31,2,0.4,29,106
2022/4/24,64,良,19,35,2,0.4,38,116
2022/4/25,87,良,33,65,4,0.5,46,144
2022/4/26,122,轻度污染,92,111,6,0.8,54,167
2022/4/27,113,轻度污染,41,175,5,0.6,39,141
2022/4/28,150,轻度污染,96,174,7,0.8,56,214
2022/4/29,195,中度污染,146,171,9,1,61,169
2022/4/30,69,良,29,68,5,0.7,25,122
2022/5/1,117,轻度污染,40,184,2,0.5,33,84
2022/5/2,51,良,17,41,2,0.3,23,101
2022/5/3,58,良,15,54,3,0.3,29,109
2022/5/4,112,轻度污染,61,114,8,0.6,57,173
2022/5/5,116,轻度污染,60,151,4,0.5,50,86
2022/5/6,120,轻度污染,59,189,4,0.5,43,149
2022/5/7,104,轻度污染,55,136,8,0.7,46,164
2022/5/8,91,良,30,80,5,0.5,39,149
2022/5/9,120,轻度污染,47,99,8,0.6,50,182
2022/5/10,146,轻度污染,92,143,12,1,63,210
2022/5/11,108,轻度污染,81,109,6,0.8,52,110
2022/5/12,185,中度污染,139,121,4,1.5,44,163
2022/5/13,119,轻度污染,49,84,3,0.6,40,180
2022/5/14,178,中度污染,118,146,7,1.2,44,243
2022/5/15,90,良,67,103,5,1.1,44,136
2022/5/16,152,中度污染,116,93,5,1.9,37,180
2022/5/17,59,良,42,59,3,1,30,79
2022/5/18,94,良,23,48,4,0.6,31,152
2022/5/19,110,轻度污染,38,68,5,0.7,43,170
2022/5/20,61,良,39,45,3,0.8,30,113
2022/5/21,83,良,61,41,2,1,37,54
2022/5/22,102,轻度污染,45,153,2,0.4,25,98
2022/5/23,139,轻度污染,56,228,5,0.5,42,150
2022/5/24,151,中度污染,52,133,7,0.7,52,216
2022/5/25,162,中度污染,61,131,7,0.8,40,227
2022/5/26,125,轻度污染,52,129,4,0.8,36,139
2022/5/27,89,良,44,128,3,0.4,34,140
2022/5/28,76,良,29,91,2,0.2,25,95
2022/5/29,63,良,14,55,2,0.3,34,115
2022/5/30,95,良,13,38,3,0.3,35,154
2022/5/31,154,中度污染,29,71,6,0.6,46,219
2022/6/1,129,轻度污染,28,68,3,0.5,48,191
2022/6/2,200,中度污染,50,108,9,0.7,51,265
2022/6/3,87,良,54,123,4,0.7,40,125
2022/6/4,104,轻度污染,30,91,3,0.5,40,164
2022/6/5,164,中度污染,40,120,7,0.5,43,229
2022/6/6,172,中度污染,50,146,9,0.7,45,237
2022/6/7,95,良,21,56,3,0.5,24,153
2022/6/8,90,良,15,46,2,0.5,33,148
2022/6/9,55,良,22,40,2,0.5,28,106
2022/6/10,106,轻度污染,34,34,2,0.7,23,166
2022/6/11,100,良,64,65,2,0.9,31,159
2022/6/12,135,轻度污染,85,83,3,1,42,198
2022/6/13,64,良,46,46,3,1,33,101
2022/6/14,125,轻度污染,26,41,3,0.7,36,187
2022/6/15,136,轻度污染,79,69,5,1.2,29,199
2022/6/16,141,轻度污染,81,83,3,1,28,205
2022/6/17,98,良,45,48,2,0.9,28,157
2022/6/18,148,轻度污染,81,79,3,1,34,212
2022/6/19,118,轻度污染,53,72,4,1,28,179
2022/6/20,97,良,39,50,3,0.7,33,156
2022/6/21,157,中度污染,27,63,6,0.9,36,222
2022/6/22,100,良,61,91,7,1.2,50,160
2022/6/23,203,重度污染,57,86,4,0.9,32,277
2022/6/24,185,中度污染,54,94,4,0.7,31,250
2022/6/25,126,轻度污染,82,116,5,1.2,41,188
2022/6/26,163,中度污染,124,107,4,1.7,35,219
2022/6/27,48,优,27,49,3,0.5,35,95
2022/6/28,66,良,9,25,3,0.3,25,119
2022/6/29,103,轻度污染,18,56,2,0.5,44,163
2022/6/30,186,中度污染,33,75,5,1,34,251
2022/7/1,120,轻度污染,49,54,4,1,26,181
2022/7/2,110,轻度污染,44,54,3,0.9,24,170
2022/7/3,122,轻度污染,55,52,3,0.9,24,184
2022/7/4,172,中度污染,59,78,3,0.9,31,237
2022/7/5,173,中度污染,70,104,3,1.2,36,238
2022/7/6,169,中度污染,36,56,3,1,25,234
2022/7/7,70,良,51,49,3,0.9,27,50
2022/7/8,111,轻度污染,54,41,3,0.9,23,172
2022/7/9,102,轻度污染,76,68,3,1,29,82
2022/7/10,50,优,33,34,3,0.7,22,100
2022/7/11,47,优,30,27,3,0.6,35,64
2022/7/12,48,优,33,26,3,0.9,31,78
2022/7/13,60,良,43,46,3,0.9,38,107
2022/7/14,110,轻度污染,51,44,3,0.7,23,171
2022/7/15,117,轻度污染,59,58,3,1,29,178
2022/7/16,38,优,26,34,3,0.7,26,68
2022/7/17,34,优,19,14,3,0.7,27,63
2022/7/18,109,轻度污染,83,66,3,1.4,27,116
2022/7/19,92,良,69,57,3,1,32,122
2022/7/20,108,轻度污染,81,74,3,1,22,168
2022/7/21,130,轻度污染,69,77,4,0.9,21,193
2022/7/22,62,良,44,46,3,0.9,27,105
2022/7/23,100,良,52,59,3,1,24,159
2022/7/24,31,优,16,20,3,0.6,19,62
2022/7/25,55,良,10,17,3,0.5,17,105
2022/7/26,95,良,12,31,3,0.5,25,154
2022/7/27,93,良,48,56,3,1.2,23,151
2022/7/28,129,轻度污染,55,61,3,1.2,21,191
2022/7/29,145,轻度污染,73,88,3,1.2,26,209
2022/7/30,141,轻度污染,72,84,3,1.2,28,205
2022/7/31,163,中度污染,63,83,3,1.2,30,228
2022/8/1,167,中度污染,59,88,3,1.2,28,232
2022/8/2,151,中度污染,84,101,3,1.5,25,216
2022/8/3,133,轻度污染,53,79,2,1,27,196
2022/8/4,172,中度污染,63,97,3,1.2,29,237
2022/8/5,83,良,34,54,3,0.9,21,139
2022/8/6,53,良,36,49,5,1.4,30,66
2022/8/7,88,良,61,61,3,1.2,26,145
2022/8/8,42,优,23,24,3,1,21,83
2022/8/9,111,轻度污染,29,34,2,1,28,172
2022/8/10,151,中度污染,35,47,2,0.9,29,216
2022/8/11,87,良,46,48,3,1.2,24,144
2022/8/12,75,良,55,44,2,1.2,23,104
2022/8/13,85,良,45,41,2,1,22,142
2022/8/14,39,优,26,32,2,0.9,21,71
2022/8/15,49,优,14,28,2,0.5,26,97
2022/8/16,93,良,13,30,2,0.5,24,151
2022/8/17,152,中度污染,32,64,3,0.6,39,217
2022/8/18,49,优,14,22,3,0.5,24,98
2022/8/19,41,优,20,35,3,0.7,30,82
2022/8/20,87,良,24,36,2,0.7,24,144
2022/8/21,60,良,12,31,2,0.5,27,111
2022/8/22,59,良,19,52,2,0.6,47,66
2022/8/23,77,良,17,40,2,0.6,34,132
2022/8/24,63,良,12,34,2,0.5,31,115
2022/8/25,136,轻度污染,30,67,3,0.7,32,199
2022/8/26,140,轻度污染,59,92,3,1,31,204
2022/8/27,139,轻度污染,63,89,5,1,32,202
2022/8/28,103,轻度污染,59,74,4,1,35,163
2022/8/29,61,良,9,23,2,0.5,24,113
2022/8/30,43,优,16,37,3,0.6,33,85
2022/8/31,97,良,14,31,3,0.6,29,156
2022/9/1,87,良,44,50,3,1,30,144
2022/9/2,61,良,41,34,2,0.7,19,113
2022/9/3,39,优,29,28,2,0.5,19,78
2022/9/4,43,优,7,19,2,0.5,24,86
2022/9/5,62,良,11,33,3,0.5,31,114
2022/9/6,35,优,8,35,2,0.3,19,67
2022/9/7,34,优,5,18,2,0.3,17,68
2022/9/8,42,优,8,23,2,0.5,27,84
2022/9/9,75,良,24,56,4,0.5,41,129
2022/9/10,75,良,43,74,6,1,52,129
2022/9/11,80,良,43,68,5,0.9,41,136
2022/9/12,104,轻度污染,47,58,4,0.9,37,164
2022/9/13,110,轻度污染,80,97,4,1,49,170
2022/9/14,130,轻度污染,100,109,5,1.2,50,156
2022/9/15,32,优,14,23,2,0.5,20,63
2022/9/16,42,优,8,26,3,0.3,30,83
2022/9/17,52,良,12,40,3,0.5,41,71
2022/9/18,60,良,20,55,3,0.5,50,58
2022/9/19,77,良,28,63,3,0.9,59,42
2022/9/20,65,良,45,70,3,0.7,50,118
2022/9/21,44,优,15,45,2,0.3,29,61
2022/9/22,26,优,6,25,2,0.3,18,51
2022/9/23,30,优,5,25,2,0.3,22,59
2022/9/24,37,优,8,25,3,0.3,28,73
2022/9/25,48,优,22,48,4,0.6,36,90
2022/9/26,53,良,34,57,3,0.6,40,91
2022/9/27,88,良,66,80,5,1,59,67
2022/9/28,73,良,55,42,3,0.9,35,83
2022/9/29,32,优,6,13,3,0.3,24,63
2022/9/30,30,优,5,18,3,0.3,21,59
2022/10/1,40,优,8,21,3,0.3,19,79
2022/10/2,44,优,11,30,3,0.5,35,81
2022/10/3,52,良,13,35,4,0.5,41,82
2022/10/4,74,良,43,71,8,1,54,128
2022/10/5,107,轻度污染,80,99,8,1.4,54,125
2022/10/6,33,优,8,21,3,0.3,18,66
2022/10/7,50,优,11,37,3,0.5,40,68
2022/10/8,42,优,9,35,2,0.5,33,73
2022/10/9,25,优,4,14,3,0.3,15,50
2022/10/10,32,优,6,22,3,0.3,25,52
2022/10/11,45,优,10,32,3,0.3,36,59
2022/10/12,74,良,37,74,4,0.6,59,71
2022/10/13,109,轻度污染,82,106,7,1,75,90
2022/10/14,190,中度污染,142,157,6,1.2,77,114
2022/10/15,202,重度污染,152,181,5,1.4,68,55
2022/10/16,83,良,61,64,3,1,36,74
2022/10/17,53,良,31,45,3,0.6,42,63
2022/10/18,67,良,30,50,3,0.6,53,63
2022/10/19,73,良,43,59,4,0.7,58,78
2022/10/20,88,良,65,79,5,0.9,70,81
2022/10/21,150,轻度污染,115,128,7,1.4,83,57
2022/10/22,158,中度污染,120,90,5,1.2,58,72
2022/10/23,45,优,15,45,3,0.5,35,58
2022/10/24,82,良,42,90,4,0.9,65,37
2022/10/25,112,轻度污染,84,122,10,1.5,75,29
2022/10/26,44,优,5,44,2,0.3,11,56
2022/10/27,33,优,10,32,4,0.3,26,57
2022/10/28,36,优,4,29,2,0.3,11,72
2022/10/29,31,优,5,20,3,0.3,21,62
2022/10/30,49,优,11,33,3,0.5,39,65
2022/10/31,62,良,23,52,5,0.9,49,45
2022/11/1,83,良,56,81,7,1,66,60
2022/11/2,152,中度污染,116,126,8,1.5,96,31
2022/11/3,211,重度污染,161,164,8,1.7,89,81
2022/11/4,102,轻度污染,76,90,3,0.9,48,23
2022/11/5,47,优,20,33,2,0.5,37,30
2022/11/6,50,优,14,32,3,0.5,40,40
2022/11/7,65,良,28,55,4,0.7,52,16
2022/11/8,93,良,69,100,7,1.2,73,15
2022/11/9,54,良,31,58,3,0.6,41,61
2022/11/10,50,优,13,38,3,0.5,40,37
2022/11/11,72,良,46,80,5,0.7,57,49
2022/11/12,132,轻度污染,100,116,7,1.2,75,33
2022/11/13,230,重度污染,180,152,6,1.7,79,33
2022/11/14,270,重度污染,220,185,5,2.3,75,37
2022/11/15,80,良,59,22,3,0.9,32,52
2022/11/16,39,优,14,33,4,0.5,31,52
2022/11/17,75,良,44,76,7,0.9,60,24
2022/11/18,64,良,30,77,6,0.7,42,63
2022/11/19,83,良,47,92,10,1.2,66,17
